GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Mutation Score(%),Statement Coverage
Apache Commons Codec,org.apache.commons.codec.binary,Base64,30,1924,7,95,4,149,8,73,1,27,91,97.38562092
Apache Commons Codec,org.apache.commons.codec,Resources,3,21,0,2,1,4,1,2,1,1,100,80
Apache Commons Codec,org.apache.commons.codec,StringEncoderComparator,6,30,0,0,3,11,1,2,1,2,0,78.57142857
Apache Commons Codec,org.apache.commons.codec,Charsets,5,24,1,3,1,8,2,4,1,3,100,88.88888889
Apache Commons Codec,org.apache.commons.codec.net,QuotedPrintableCodec,13,512,2,80,4,119,4,62,2,23,94,96.74796748
Apache Commons Codec,org.apache.commons.codec.net,PercentCodec,0,432,0,72,0,88,0,51,0,15,92,100
Apache Commons Codec,org.apache.commons.codec.net,BCodec,19,127,2,18,5,39,3,21,1,13,0,88.63636364
Apache Commons Codec,org.apache.commons.codec.net,QCodec,27,335,2,40,7,97,3,35,1,16,89,93.26923077
Apache Commons Codec,org.apache.commons.codec.net,Utils,0,32,0,2,0,6,0,4,0,3,100,100
Apache Commons Codec,org.apache.commons.codec.net,URLCodec,3,340,0,46,1,87,1,37,1,14,97,98.86363636
Apache Commons Codec,org.apache.commons.codec.net,RFC1522Codec,8,169,2,16,2,38,2,11,0,4,83,95
Apache Commons Codec,org.apache.commons.codec.language.bm,RuleType,0,48,0,0,0,8,0,3,0,3,100,100
Apache Commons Codec,org.apache.commons.codec.language.bm,NameType,0,48,0,0,0,8,0,3,0,3,100,100
Apache Commons Codec,org.apache.commons.codec.language.bm,PhoneticEngine,43,654,5,37,7,105,5,29,1,11,89,93.75
Apache Commons Codec,org.apache.commons.codec.language.bm,BeiderMorseEncoder,0,109,0,4,0,28,0,12,0,10,88,100
Apache Commons Codec,org.apache.commons.codec.language.bm,Languages,0,113,0,12,0,25,0,12,0,6,74,100
Apache Commons Codec,org.apache.commons.codec.language.bm,Lang,30,206,3,23,3,44,3,16,1,5,10,93.61702128
Apache Commons Codec,org.apache.commons.codec.language.bm,Rule,130,809,11,105,17,162,14,66,4,18,23,90.5027933
