GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Branch Coverage,statehment coverage,Complexity,Mutation Score(%)
Doxia :: APT Module,org.apache.maven.doxia.module.apt,AptSink,87,1282,17,85,23,334,21,122,5,85,83.33333333,0.93557423,143,76
Doxia :: APT Module,org.apache.maven.doxia.module.apt,AptUtils,0,131,0,36,0,27,0,24,0,6,100,1,24,100
Doxia :: APT Module,org.apache.maven.doxia.module.apt,AptReaderSource,28,53,2,4,6,17,3,6,1,5,66.66666667,0.739130435,9,33
Doxia :: Core,org.apache.maven.doxia.macro,MacroRequest,4,64,0,4,2,17,1,10,1,8,100,0.894736842,11,78
Doxia :: Core,org.apache.maven.doxia.macro,SsiMacro,0,86,0,8,0,18,0,7,0,3,100,1,7,86
Doxia :: Core,org.apache.maven.doxia.macro,AbstractMacro,4,66,2,8,2,17,2,8,0,5,80,0.894736842,10,73
Doxia :: Core,org.apache.maven.doxia.macro,EchoMacro,0,57,0,6,0,10,0,5,0,2,100,1,5,100
Doxia :: Core,org.apache.maven.doxia.macro,SwfMacro,13,275,15,24,4,61,13,13,0,2,61.53846154,0.938461538,26,12
Doxia :: Core,org.apache.maven.doxia.parser.module,DefaultParserModuleManager,58,0,6,0,12,0,6,0,3,0,0,0,6,0
Doxia :: Core,org.apache.maven.doxia.parser.manager,DefaultParserManager,25,0,2,0,5,0,3,0,2,0,0,0,3,0
Doxia :: Core,org.apache.maven.doxia.macro.snippet,SnippetReader,35,241,3,33,4,55,4,24,1,9,91.66666667,0.93220339,28,18
Doxia :: Core,org.apache.maven.doxia.macro.snippet,SnippetMacro,64,293,9,23,11,69,9,19,1,11,71.875,0.8625,28,0
Doxia :: Core,org.apache.maven.doxia.sink.impl,Xhtml5BaseSink,372,2047,77,152,106,602,104,183,28,143,66.37554585,0.850282486,287,0
Doxia :: Core,org.apache.maven.doxia.sink.impl,RandomAccessSink,827,154,1,5,343,42,164,10,163,8,83.33333333,0.109090909,174,0
Doxia :: Core,org.apache.maven.doxia.sink.impl,SinkUtils,0,478,2,22,0,64,2,15,0,5,91.66666667,1,17,80
Doxia :: Core,org.apache.maven.doxia.sink.impl,AbstractXmlSink,4,153,1,15,2,43,2,17,1,10,93.75,0.955555556,19,100
Doxia :: Core,org.apache.maven.doxia.sink.impl,AbstractSink,2,78,1,13,1,19,1,11,0,5,92.85714286,0.95,12,94
Doxia :: Core,org.apache.maven.doxia.sink.impl,AbstractBinarySinkFactory,59,0,6,0,11,0,7,0,4,0,0,0,7,0
Doxia :: Core,org.apache.maven.doxia.sink.impl,SinkAdapter,21,372,5,39,11,240,14,174,10,156,88.63636364,0.956175299,188,13
Doxia :: Core,org.apache.maven.doxia.sink.impl,SinkEventAttributeSet,0,514,1,43,0,106,1,47,0,26,97.72727273,1,48,92
Doxia :: Core,org.apache.maven.doxia.sink.impl,XhtmlBaseSink,518,1837,77,154,133,527,110,152,35,110,66.66666667,0.798484848,262,0
Doxia :: Core,org.apache.maven.doxia.sink.impl,AbstractTextSinkFactory,55,12,6,0,10,2,6,2,3,2,0,0.166666667,8,14
Doxia :: Core,org.apache.maven.doxia.sink.impl,PipelineSink,46,0,2,0,10,0,5,0,4,0,0,0,5,0
Doxia :: Core,org.apache.maven.doxia.parser,AbstractParser,67,59,3,3,21,21,10,9,8,8,50,0.5,19,36
Doxia :: Core,org.apache.maven.doxia.parser,AbstractXmlParser,173,421,21,59,40,115,23,43,7,19,73.75,0.741935484,66,4
Doxia :: Core,org.apache.maven.doxia.parser,XhtmlBaseParser,94,2411,41,219,28,589,38,130,3,33,84.23076923,0.954619125,168,0
Doxia :: Core,org.apache.maven.doxia.parser,Xhtml5BaseParser,228,1902,53,305,55,449,52,166,5,32,85.19553073,0.890873016,218,0
Doxia :: Core,org.apache.maven.doxia.parser,ParseException,96,0,4,0,24,0,14,0,12,0,0,0,14,0
Doxia :: Core,org.apache.maven.doxia.macro.manager,DefaultMacroManager,0,25,0,2,0,5,0,3,0,2,100,1,3,100
Doxia :: Core,org.apache.maven.doxia.index,IndexEntry,83,154,13,13,21,42,12,18,4,13,50,0.666666667,30,60
Doxia :: Core,org.apache.maven.doxia.index,IndexingSink,54,122,2,1,28,47,15,18,13,18,33.33333333,0.626666667,33,56
Doxia :: Core,org.apache.maven.doxia.document.io.xpp3,DocumentXpp3Reader,658,1755,111,225,124,302,97,107,16,20,66.96428571,0.708920188,204,0
Doxia :: Core,org.apache.maven.doxia.document.io.xpp3,DocumentXpp3Writer,82,1318,93,99,18,222,94,16,2,12,51.5625,0.925,110,78
Doxia :: Core,org.apache.maven.doxia.util,ByLineReaderSource,34,77,5,7,12,26,5,9,2,6,58.33333333,0.684210526,14,57
Doxia :: Core,org.apache.maven.doxia.util,XmlValidator,21,105,7,5,3,28,6,5,0,5,41.66666667,0.903225806,11,0
Doxia :: Core,org.apache.maven.doxia.util,LineBreaker,171,0,20,0,52,0,20,0,9,0,0,0,20,0
Doxia :: Core,org.apache.maven.doxia.util,DoxiaUtils,43,367,6,86,10,51,6,52,2,10,93.47826087,0.836065574,58,87
Doxia :: Core,org.apache.maven.doxia.util,HtmlTools,50,781,9,58,8,89,9,40,0,14,86.56716418,0.917525773,49,84
Doxia :: Core,org.apache.maven.doxia.macro.toc,TocMacro,34,209,8,22,4,53,8,11,0,4,73.33333333,0.929824561,19,89
Doxia :: Core,org.apache.maven.doxia.document,DocumentMeta,264,1419,165,119,33,273,139,66,4,59,41.90140845,0.892156863,205,47
Doxia :: Core,org.apache.maven.doxia.document,DocumentTOC,31,174,16,14,8,37,17,10,3,9,46.66666667,0.822222222,27,48
Doxia :: Core,org.apache.maven.doxia.document,DocumentTOCItem,48,217,23,19,10,44,24,11,4,10,45.23809524,0.814814815,35,45
Doxia :: Core,org.apache.maven.doxia.document,DocumentStatistic,18,738,30,30,2,149,30,32,0,32,50,0.986754967,62,42
Doxia :: Core,org.apache.maven.doxia.document,DocumentAuthor,131,774,100,62,6,144,82,34,1,34,38.27160494,0.96,116,46
Doxia :: Core,org.apache.maven.doxia.document,DocumentHyperlinkBehaviour,10,77,8,6,2,19,7,6,0,6,42.85714286,0.904761905,13,40
Doxia :: Core,org.apache.maven.doxia.document,DocumentCover,131,651,84,54,16,123,69,32,2,30,39.13043478,0.884892086,101,46
Doxia :: Core,org.apache.maven.doxia.document,DocumentModel,26,236,25,19,1,50,21,15,0,14,43.18181818,0.980392157,36,55
Doxia :: Core,org.apache.maven.doxia.document,DocumentTemplate,30,237,26,20,3,47,22,14,0,13,43.47826087,0.94,36,44
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki,TWikiSink,271,745,32,29,111,253,59,110,36,101,47.54098361,0.695054945,169,0
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki,TWikiParser,28,300,3,21,3,76,3,15,0,6,87.5,0.962025316,18,0
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki.parser,SectionBlockParser,27,130,4,18,4,28,4,15,0,8,81.81818182,0.875,19,100
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki.parser,TextParser,8,677,5,63,1,125,5,44,0,15,92.64705882,0.992063492,49,0
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki.parser,HRuleBlockParser,5,53,2,6,1,17,2,6,0,4,75,0.944444444,8,100
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki.parser,SectionBlock,79,127,3,5,15,29,3,12,1,10,62.5,0.659090909,15,100
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki.parser,ImageBlock,29,27,3,3,9,10,5,2,2,2,50,0.526315789,7,30
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki.parser,ListItemBlock,12,95,9,15,1,27,8,11,0,7,62.5,0.964285714,19,80
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki.parser,TextBlock,24,42,1,5,2,15,2,7,1,5,83.33333333,0.882352941,9,100
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki.parser,XHTMLBlock,32,18,6,2,10,7,6,2,2,2,25,0.411764706,8,43
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki.parser,WikiWordBlock,5,97,3,11,1,24,3,10,0,6,78.57142857,0.96,13,56
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki.parser,LinkBlock,13,74,3,9,3,19,4,7,1,4,75,0.863636364,11,100
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki.parser,NumeratedListBlock,11,32,2,2,2,11,3,4,1,4,50,0.846153846,7,50
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki.parser,ParagraphBlockParser,34,206,8,36,7,56,8,24,0,10,81.81818182,0.888888889,32,93
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki.parser,AbstractFatherBlock,14,117,3,17,1,28,3,12,0,5,85,0.965517241,15,100
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki.parser,AnchorBlock,8,41,1,5,2,15,2,6,1,4,83.33333333,0.882352941,8,100
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki.parser,TableBlockParser,16,137,7,15,2,23,7,9,0,5,68.18181818,0.92,16,89
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki.parser,HorizontalRuleBlock,0,23,0,6,0,5,0,7,0,4,100,1,7,0
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki.parser,FormatedTextParser,5,384,4,54,1,67,4,33,0,8,93.10344828,0.985294118,37,94
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki.parser,TableBlock,0,40,0,2,0,12,0,5,0,4,100,1,5,75
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki.parser,TreeListBuilder,9,171,3,17,2,34,3,12,0,5,85,0.944444444,15,70
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki.parser,VerbatimBlockParser,5,90,2,4,1,17,2,5,0,4,66.66666667,0.944444444,7,100
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki.parser,NopBlock,15,4,4,0,2,2,4,2,2,2,0,0.5,6,0
Doxia :: TWiki Module,org.apache.maven.doxia.module.twiki.parser,GenericListBlockParser,11,200,5,19,1,38,5,12,0,5,79.16666667,0.974358974,17,82
Doxia :: iText Module,org.apache.maven.doxia.module.itext,ITextSinkFactory,26,0,2,0,6,0,5,0,4,0,0,0,5,0
Doxia :: iText Module,org.apache.maven.doxia.module.itext,ITextSink,433,2556,55,81,105,692,61,121,13,96,59.55882353,0.86825596,182,0
Doxia :: iText Module,org.apache.maven.doxia.module.itext,ITextUtil,63,115,5,15,14,25,7,10,2,5,75,0.641025641,17,65
Doxia :: iText Module,org.apache.maven.doxia.module.itext,ITextFont,31,231,5,21,9,70,5,31,0,21,80.76923077,0.886075949,36,30
Doxia :: iText Module,org.apache.maven.doxia.module.itext,ITextHeader,24,53,5,5,6,17,5,7,0,7,50,0.739130435,12,36
Doxia :: iText Module,org.apache.maven.doxia.module.itext,SinkActionContext,2,30,1,1,1,8,1,4,0,4,50,0.888888889,5,0
Doxia :: XDoc Module,org.apache.maven.doxia.module.xdoc,XdocParser,95,714,10,106,16,167,10,61,0,13,91.37931034,0.912568306,71,85
Doxia :: XDoc Module,org.apache.maven.doxia.module.xdoc,XmlWriterXdocSink,87,0,4,0,21,0,5,0,3,0,0,0,5,0
Doxia :: XDoc Module,org.apache.maven.doxia.module.xdoc,XdocSink,11,471,4,48,4,139,5,46,1,24,92.30769231,0.972027972,51,0
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,RomanNumerals,212,0,6,0,12,0,7,0,4,0,0,0,7,0
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,PBMReader,160,0,20,0,43,0,19,0,8,0,0,0,19,0
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,RtfSink,895,1919,75,110,205,494,80,136,23,92,59.45945946,0.706723891,216,3
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,AlphaNumerals,11,33,2,4,3,9,4,2,2,1,66.66666667,0.75,6,11
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,Font,14,87,1,7,3,19,3,6,2,3,87.5,0.863636364,9,18
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,FontMetrics,5,68,1,3,2,19,1,4,0,2,75,0.904761905,5,100
Doxia :: RTF Module,org.apache.maven.doxia.module.rtf,WMFWriter,384,0,14,0,89,0,20,0,13,0,0,0,20,0
Doxia :: Markdown Module,org.apache.maven.doxia.module.markdown,FlexmarkDoxiaLinkResolver,0,30,0,4,0,8,0,4,0,2,100,1,4,83
Doxia :: Markdown Module,org.apache.maven.doxia.module.markdown,MarkdownParser,31,360,3,31,8,81,4,18,1,4,91.17647059,0.91011236,22,90
Doxia :: Markdown Module,org.apache.maven.doxia.module.markdown,FlexmarkDoxiaNodeRenderer,74,92,7,3,15,15,6,3,1,3,30,0.5,9,44
Doxia :: FO Module,org.apache.maven.doxia.module.fo,FoAggregateSink,342,1718,75,129,71,446,69,88,3,52,63.23529412,0.862669246,157,63
Doxia :: FO Module,org.apache.maven.doxia.module.fo,FoSink,245,2045,56,109,55,630,59,186,12,148,66.06060606,0.919708029,245,0
Doxia :: FO Module,org.apache.maven.doxia.module.fo,NumberedListItem,24,618,8,13,7,25,8,11,0,7,61.9047619,0.78125,19,50
Doxia :: FO Module,org.apache.maven.doxia.module.fo,FoConfiguration,23,186,0,16,9,41,1,14,1,6,100,0.82,15,0
Doxia :: FO Module,org.apache.maven.doxia.module.fo,FoUtils,65,97,15,7,16,23,9,7,0,5,31.81818182,0.58974359,16,0
